order,median_radius,median_pad,gaussian_radius,gaussian_pad,psnr_db
gaussian->median,5,4,3,4,21.216803
gaussian->median,5,4,5,0,20.937395
gaussian->median,5,4,5,2,20.961295
gaussian->median,5,4,5,4,20.985261
median->gaussian,1,3,1,3,26.477661
median->gaussian,1,3,1,4,26.492234
median->gaussian,1,3,1,5,26.503669
median->gaussian,1,3,2,3,25.358667
median->gaussian,1,3,2,4,25.368434
median->gaussian,1,3,2,5,25.383083
median->gaussian,1,4,1,3,26.490450
median->gaussian,1,4,1,4,26.499146
median->gaussian,1,4,1,5,26.513604
median->gaussian,1,4,2,3,25.368576
median->gaussian,1,4,2,4,25.383227
median->gaussian,1,4,2,5,25.392791
median->gaussian,1,5,1,3,26.502129
median->gaussian,1,5,1,4,26.516552
median->gaussian,1,5,1,5,26.524994
median->gaussian,1,5,2,3,25.382862
median->gaussian,1,5,2,4,25.395623
median->gaussian,1,5,2,5,25.410144
median->gaussian,2,3,1,3,24.953618
median->gaussian,2,3,1,4,24.966877
median->gaussian,2,3,1,5,24.980184
median->gaussian,2,3,2,3,24.529888
median->gaussian,2,3,2,4,24.544590
median->gaussian,2,3,2,5,24.558057
median->gaussian,2,4,1,3,24.966422
median->gaussian,2,4,1,4,24.981253
median->gaussian,2,4,1,5,24.994422
median->gaussian,2,4,2,3,24.547644
median->gaussian,2,4,2,4,24.557471
median->gaussian,2,4,2,5,24.572072
median->gaussian,2,5,1,3,24.983178
median->gaussian,2,5,1,4,24.992863
median->gaussian,2,5,1,5,25.007591
median->gaussian,2,5,2,3,24.559286
median->gaussian,2,5,2,4,24.573890
median->gaussian,2,5,2,5,24.583556
