radius,kernel_size,pad_size,stride_x,stride_y,psnr_db
1,3,0,1,1,20.205027
1,3,0,2,2,20.213782
1,3,0,3,3,20.211908
1,3,1,1,1,20.207414
1,3,1,2,2,20.203051
1,3,1,3,3,20.187911
1,3,2,1,1,20.213413
1,3,2,2,2,20.224994
1,3,2,3,3,20.213156
1,3,3,1,1,20.216317
1,3,3,2,2,20.211572
1,3,3,3,3,20.230656
1,3,4,1,1,20.219785
1,3,4,2,2,20.230691
1,3,4,3,3,20.198843
1,3,5,1,1,20.223483
1,3,5,2,2,20.218570
1,3,5,3,3,20.222931
2,5,0,1,1,21.638958
2,5,0,2,2,21.617458
2,5,0,3,3,21.630009
2,5,1,1,1,21.646058
2,5,1,2,2,21.675911
2,5,1,3,3,21.659934
2,5,2,1,1,21.649928
2,5,2,2,2,21.627375
2,5,2,3,3,21.652331
2,5,3,1,1,21.656964
2,5,3,2,2,21.687857
2,5,3,3,3,21.650867
2,5,4,1,1,21.664272
2,5,4,2,2,21.642753
2,5,4,3,3,21.682390
2,5,5,1,1,21.671221
2,5,5,2,2,21.702238
2,5,5,3,3,21.675620
3,7,0,1,1,21.804889
3,7,0,2,2,21.841343
3,7,0,3,3,21.803820
3,7,1,1,1,21.814208
3,7,1,2,2,21.786772
3,7,1,3,3,21.811011
3,7,2,1,1,21.823375
3,7,2,2,2,21.858820
3,7,2,3,3,21.848759
3,7,3,1,1,21.829762
3,7,3,2,2,21.801888
3,7,3,3,3,21.823910
3,7,4,1,1,21.838845
3,7,4,2,2,21.874863
3,7,4,3,3,21.837334
3,7,5,1,1,21.847927
3,7,5,2,2,21.820732
3,7,5,3,3,21.875982
4,9,0,1,1,21.638112
4,9,0,2,2,21.612448
4,9,0,3,3,21.672783
4,9,1,1,1,21.648732
4,9,1,2,2,21.687373
4,9,1,3,3,21.642532
4,9,2,1,1,21.659129
4,9,2,2,2,21.632648
4,9,2,3,3,21.661129
4,9,3,1,1,21.669675
4,9,3,2,2,21.707548
4,9,3,3,3,21.701694
4,9,4,1,1,21.677862
4,9,4,2,2,21.651052
4,9,4,3,3,21.667946
4,9,5,1,1,21.688310
4,9,5,2,2,21.726725
4,9,5,3,3,21.690897
5,11,0,1,1,21.388838
5,11,0,2,2,21.424687
5,11,0,3,3,21.401527
5,11,1,1,1,21.400009
5,11,1,2,2,21.377697
5,11,1,3,3,21.433645
5,11,2,1,1,21.411198
5,11,2,2,2,21.447299
5,11,2,3,3,21.400081
5,11,3,1,1,21.422310
5,11,3,2,2,21.399214
5,11,3,3,3,21.431387
5,11,4,1,1,21.433710
5,11,4,2,2,21.469226
5,11,4,3,3,21.465002
5,11,5,1,1,21.442920
5,11,5,2,2,21.419385
5,11,5,3,3,21.429210
